dataset,ef,campaign_id,protocol_fingerprint,binary_sha256,threads,duration_s,measurement_mode,processed_queries,expected_queries,failed_queries,wall_seconds,top_k,metric,query_rows,ground_truth_rows,query_rows_per_ground_truth,qps_recomputed,recall,latency_us,network_us,compute_us,meta_us,deserialize_us,raw_qps_buggy,server_rss_before_gb,server_rss_after_gb,status
tti10M,48,vldb-dhnsw-text-sift-node7-final-v3-20260713,e0de9cf9c92ae91dd277f2ed1ba05201d2aed6eb46169b5ffdb839305dabd0e4,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,20,fixed_query_pool,10000,10000,0,25.441178,10,ip,10000,10000,1,393.064,0.573370,22082.100,1994.970,599.889,40.016,8043.800,45.7785,43.794,44.961,ok
tti10M,64,vldb-dhnsw-text-sift-node7-final-v3-20260713,e7501ee2b27d823c4dbb4771e18a50ede1c1230a1b0cb2bfc77342fdd866fefd,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,20,fixed_query_pool,10000,10000,0,23.704235,10,ip,10000,10000,1,421.866,0.584320,21259.700,1985.030,642.838,41.599,7342.750,47.2616,43.794,44.961,ok
tti10M,96,vldb-dhnsw-text-sift-node7-final-v3-20260713,6db22294e325f29dcc9aeeae1fbd9decdad1b4d6f418216052a72f640a9cc63c,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,20,fixed_query_pool,10000,10000,0,23.607528,10,ip,10000,10000,1,423.594,0.593110,21466.200,1976.640,880.395,40.434,7065.860,46.7768,43.794,44.961,ok
tti10M,128,vldb-dhnsw-text-sift-node7-final-v3-20260713,f7f9ecd22b34e68c853fec81cc2f7dd9add2015f2e0bf18ab09c8fbc1a2cf81b,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,20,fixed_query_pool,10000,10000,0,24.344418,10,ip,10000,10000,1,410.772,0.597580,21576.800,1899.000,1079.520,39.517,7371.180,46.5659,43.794,44.961,ok
tti10M,200,vldb-dhnsw-text-sift-node7-final-v3-20260713,0879106585396e29298d8e49be80acb3914c21c4ad16baab4a3d54a7b5b1f96b,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,20,fixed_query_pool,10000,10000,0,23.968433,10,ip,10000,10000,1,417.215,0.601650,22039.900,1915.680,1416.070,37.162,7003.510,45.499,43.794,44.961,ok
sift10M,48,vldb-dhnsw-text-sift-node7-final-v3-20260713,ea2542e1d246610fcdf07ae772f958be71ddc180c7d2ee3dfe6ad98ff97b298b,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,20,fixed_query_pool,10000,10000,0,20.985960,10,l2,10000,10000,1,476.509,0.887450,18834.500,1638.390,641.224,41.791,6477.550,53.4957,32.364,33.798,ok
sift10M,64,vldb-dhnsw-text-sift-node7-final-v3-20260713,a03bd3735d95e67e05a4ea3b8ed20e9a24ed25c1d21ab698511c3a209981a389,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,20,fixed_query_pool,10000,10000,0,21.305977,10,l2,10000,10000,1,469.352,0.895020,18885.800,1585.490,805.819,35.554,6712.570,53.3835,32.364,33.798,ok
sift10M,96,vldb-dhnsw-text-sift-node7-final-v3-20260713,404f1bb8c141bc6e9ace65c1cf0063172c4d5d1bf639e1bb87ed5e48fc11a8ef,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,20,fixed_query_pool,10000,10000,0,19.071585,10,l2,10000,10000,1,524.340,0.900960,16271.600,1573.400,817.450,37.839,5426.580,61.8447,32.364,33.798,ok
sift10M,128,vldb-dhnsw-text-sift-node7-final-v3-20260713,297856bcdc09dda9d9c141b7300d7d3cfef525aba886fc2bfe687309ffdd6b30,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,20,fixed_query_pool,10000,10000,0,21.817115,10,l2,10000,10000,1,458.356,0.903070,19362.600,1674.170,1322.040,37.797,6820.740,51.8607,32.364,33.798,ok
sift10M,200,vldb-dhnsw-text-sift-node7-final-v3-20260713,332fb1216ae6a92185a83a6e481a712ef0a3660fd437d5833bb373c99b5208e2,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,20,fixed_query_pool,10000,10000,0,21.493251,10,l2,10000,10000,1,465.262,0.904630,18877.300,1672.170,1725.140,41.707,6436.340,53.3514,32.364,33.798,ok
