dataset,ef,campaign_id,protocol_fingerprint,binary_sha256,threads,duration_s,measurement_mode,processed_queries,expected_queries,failed_queries,wall_seconds,top_k,metric,query_rows,ground_truth_rows,query_rows_per_ground_truth,qps_recomputed,recall,latency_us,network_us,compute_us,meta_us,deserialize_us,raw_qps_buggy,server_rss_before_gb,server_rss_after_gb,status
tti10M,48,vldb-dhnsw-text-sift-node7-final-v3-20260713,e0de9cf9c92ae91dd277f2ed1ba05201d2aed6eb46169b5ffdb839305dabd0e4,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,20,fixed_query_pool,10000,10000,0,24.661112,10,ip,10000,10000,1,405.497,0.572790,22288.200,1885.840,629.628,41.986,8164.320,45.1002,43.794,44.920,ok
tti10M,64,vldb-dhnsw-text-sift-node7-final-v3-20260713,e7501ee2b27d823c4dbb4771e18a50ede1c1230a1b0cb2bfc77342fdd866fefd,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,20,fixed_query_pool,10000,10000,0,21.488559,10,ip,10000,10000,1,465.364,0.583980,20754.900,2001.390,619.143,41.468,6889.930,48.1054,43.794,44.920,ok
tti10M,96,vldb-dhnsw-text-sift-node7-final-v3-20260713,6db22294e325f29dcc9aeeae1fbd9decdad1b4d6f418216052a72f640a9cc63c,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,20,fixed_query_pool,10000,10000,0,24.315803,10,ip,10000,10000,1,411.255,0.592900,21754.300,2108.730,967.391,42.783,8070.070,46.0617,43.794,44.920,ok
tti10M,128,vldb-dhnsw-text-sift-node7-final-v3-20260713,f7f9ecd22b34e68c853fec81cc2f7dd9add2015f2e0bf18ab09c8fbc1a2cf81b,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,20,fixed_query_pool,10000,10000,0,23.876271,10,ip,10000,10000,1,418.826,0.597260,21232.400,1913.350,1020.420,41.309,7235.890,47.3011,43.794,44.920,ok
tti10M,200,vldb-dhnsw-text-sift-node7-final-v3-20260713,0879106585396e29298d8e49be80acb3914c21c4ad16baab4a3d54a7b5b1f96b,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,20,fixed_query_pool,10000,10000,0,24.832078,10,ip,10000,10000,1,402.705,0.601250,22161.200,2057.900,1592.270,84.542,8144.430,45.2454,43.794,44.920,ok
sift10M,48,vldb-dhnsw-text-sift-node7-final-v3-20260713,ea2542e1d246610fcdf07ae772f958be71ddc180c7d2ee3dfe6ad98ff97b298b,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,20,fixed_query_pool,10000,10000,0,20.686823,10,l2,10000,10000,1,483.399,0.887800,18288.700,1574.060,611.229,41.082,6357.000,55.0757,32.364,33.789,ok
sift10M,64,vldb-dhnsw-text-sift-node7-final-v3-20260713,a03bd3735d95e67e05a4ea3b8ed20e9a24ed25c1d21ab698511c3a209981a389,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,20,fixed_query_pool,10000,10000,0,21.480827,10,l2,10000,10000,1,465.531,0.895100,18979.300,1621.000,815.685,37.313,7128.930,53.1028,32.364,33.789,ok
sift10M,96,vldb-dhnsw-text-sift-node7-final-v3-20260713,404f1bb8c141bc6e9ace65c1cf0063172c4d5d1bf639e1bb87ed5e48fc11a8ef,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,20,fixed_query_pool,10000,10000,0,21.308388,10,l2,10000,10000,1,469.299,0.900940,18867.500,1616.620,1013.090,37.372,6502.420,53.4846,32.364,33.789,ok
sift10M,128,vldb-dhnsw-text-sift-node7-final-v3-20260713,297856bcdc09dda9d9c141b7300d7d3cfef525aba886fc2bfe687309ffdd6b30,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,20,fixed_query_pool,10000,10000,0,20.829583,10,l2,10000,10000,1,480.086,0.903110,18136.500,1580.730,1153.160,44.002,6243.460,55.5928,32.364,33.789,ok
sift10M,200,vldb-dhnsw-text-sift-node7-final-v3-20260713,332fb1216ae6a92185a83a6e481a712ef0a3660fd437d5833bb373c99b5208e2,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,20,fixed_query_pool,10000,10000,0,20.887534,10,l2,10000,10000,1,478.754,0.904640,18083.700,1689.110,1603.750,42.968,6116.200,55.8555,32.364,33.789,ok
