dataset,requested_bytes,policy,n,binary_sha256,input_signature,source_tree_sha256,compute_host,selection_hash,result_hash_version,result_hash,physical_hash_version,physical_hash_algorithm,physical_hash_scope,header_hash_scope,descriptor_hash_scope,map_hash_scope,offset_table_hash_scope,record_payload_hash_scope,selected_uid_hash_scope,budget_map_owner_mn,physical_signature,physical_bytes,selected_records,build_mode,build_workers,rank_workers,rank_workers_recorded,staging_bytes,qps_mean,qps_ci95,recall_mean,recall_ci95,p50_us_mean,p50_us_ci95,p95_us_mean,p95_us_ci95,p99_us_mean,p99_us_ci95,posts_per_query_mean,posts_per_query_ci95,bytes_per_query_mean,bytes_per_query_ci95,build_total_ms_mean,build_total_ms_ci95,build_rank_ms_mean,build_rank_ms_ci95,build_materialize_ms_mean,build_materialize_ms_ci95,record_write_posts_mean,record_write_posts_ci95,build_record_assemble_ms_mean,build_record_assemble_ms_ci95,build_record_publish_ms_mean,build_record_publish_ms_ci95
GIST1M,536870912,hop,6,bf377c5ad52c743759777a38a0fe6d764b8aced6f81b528f80091621e61e8ac8,0959b355073bfb34bf87b959c0725bf4c3770bdc62b48cc49fb2eb85d356e814,57976c8bda972c3d2040823766661cb9d790545f2b82a6caa325f6c375aea44c,skv-node3,7232205066072187407,1,14435817900986100451,2,fnv1a64,field_scoped_physical_artifacts,replicated_header_source_bytes,descriptor_slice_of_replicated_header,global_budget_map_source_bytes,per_mn_offset_table_source_bytes,per_mn_record_payload_source_bytes,global_selected_uid_u32le_sequence,0,b356cb8d60a589d782991657f29b3616e774dbd0224554aa8f920595dd455606,536870240,29169,staged,20,20,1,67108864,522.6666666666666,0.5420143909528602,0.9276,0.0,123230.64466666667,178.98838717760125,139077.6415,404.1369016768697,144437.38266666667,631.5870179187683,774.165,0.0,21905959.596,0.0,7363.734433,17.643005346117423,827.2391916666667,13.267167647142228,1112.048117,5.245179593931717,8.0,0.0,249.23485233333332,5.3023699659465455,45.91382983333333,0.01015292822836918
GIST1M,536870912,indeg,6,bf377c5ad52c743759777a38a0fe6d764b8aced6f81b528f80091621e61e8ac8,0959b355073bfb34bf87b959c0725bf4c3770bdc62b48cc49fb2eb85d356e814,57976c8bda972c3d2040823766661cb9d790545f2b82a6caa325f6c375aea44c,skv-node3,13625151374250237600,1,14435817900986100451,2,fnv1a64,field_scoped_physical_artifacts,replicated_header_source_bytes,descriptor_slice_of_replicated_header,global_budget_map_source_bytes,per_mn_offset_table_source_bytes,per_mn_record_payload_source_bytes,global_selected_uid_u32le_sequence,0,351e1f63e2405dcbc184412acd7d201e5a28a2929ad1b0d7fc30dbd9b1b66fb4,536870152,17202,staged,20,20,1,67108864,595.8333333333334,0.42850000000000005,0.9276,0.0,107842.109,64.7903742561992,118045.5505,63.35066906920014,121629.42333333334,234.83194277307112,736.85,0.0,19231347.056,0.0,6833.677697666667,13.936101712114116,185.85582766666667,0.9383833609072662,1101.6670933333332,11.104477746635055,8.0,0.0,235.74156266666665,3.2574391422392277,45.915045,0.01084839937650447
GIST1M,1073741824,benefit,6,bf377c5ad52c743759777a38a0fe6d764b8aced6f81b528f80091621e61e8ac8,0959b355073bfb34bf87b959c0725bf4c3770bdc62b48cc49fb2eb85d356e814,57976c8bda972c3d2040823766661cb9d790545f2b82a6caa325f6c375aea44c,skv-node3,5808407588138904163,1,14435817900986100451,2,fnv1a64,field_scoped_physical_artifacts,replicated_header_source_bytes,descriptor_slice_of_replicated_header,global_budget_map_source_bytes,per_mn_offset_table_source_bytes,per_mn_record_payload_source_bytes,global_selected_uid_u32le_sequence,0,2999aad4101fe406ca338db012d05cce186d0d065be3e468c90b18e4fdace0c7,1073741416,35992,staged,20,20,1,67108864,671.5,0.574893077015196,0.9276,0.0,95500.35216666668,47.071037318710054,104698.00050000001,93.16135157167909,108108.73983333334,291.033387092247,701.899,0.0,17079455.06,0.0,8027.5351715,19.481207597027677,186.44894183333332,1.353338818161705,2118.3057088333335,21.53610738198382,16.0,0.0,437.61561916666665,3.349551259839669,92.83803,0.021623511582660456
GIST1M,1073741824,hop,6,bf377c5ad52c743759777a38a0fe6d764b8aced6f81b528f80091621e61e8ac8,0959b355073bfb34bf87b959c0725bf4c3770bdc62b48cc49fb2eb85d356e814,57976c8bda972c3d2040823766661cb9d790545f2b82a6caa325f6c375aea44c,skv-node3,10639204240415707135,1,14435817900986100451,2,fnv1a64,field_scoped_physical_artifacts,replicated_header_source_bytes,descriptor_slice_of_replicated_header,global_budget_map_source_bytes,per_mn_offset_table_source_bytes,per_mn_record_payload_source_bytes,global_selected_uid_u32le_sequence,0,7465608955bb3e4a3fec76f88fceeb3940673cbdf619451ea067c9005f41af9d,1073740864,58371,staged,20,20,1,67108864,563.3333333333334,0.5420143909528602,0.9276,0.0,113784.40766666667,140.76456715031193,131199.65883333335,264.10336417626456,137060.2395,326.48242833152926,746.126,0.0,20333439.992,0.0,8366.399345833333,16.295086754939575,819.2853319999999,2.1203612979035773,2119.7077585,17.945454974398253,16.0,0.0,442.4368401666666,5.528334800229862,92.84748616666666,0.018390130117094873
GIST1M,1073741824,indeg,6,bf377c5ad52c743759777a38a0fe6d764b8aced6f81b528f80091621e61e8ac8,0959b355073bfb34bf87b959c0725bf4c3770bdc62b48cc49fb2eb85d356e814,57976c8bda972c3d2040823766661cb9d790545f2b82a6caa325f6c375aea44c,skv-node3,9087720562180119530,1,14435817900986100451,2,fnv1a64,field_scoped_physical_artifacts,replicated_header_source_bytes,descriptor_slice_of_replicated_header,global_budget_map_source_bytes,per_mn_offset_table_source_bytes,per_mn_record_payload_source_bytes,global_selected_uid_u32le_sequence,0,da48e5bf873f9225e5aa7f0c7c977ae856e775e27f92e5f7f09d27b4a48e7361,1073741712,36151,staged,20,20,1,67108864,668.3333333333334,0.5420143909528602,0.9276,0.0,95963.0885,46.71700667962936,105228.24316666667,118.42808001270365,108564.3055,234.60136174415052,702.909,0.0,17152786.428,0.0,7841.20739,16.156184161956297,186.30505083333333,1.4320625259270332,2107.5695846666667,18.03795609261244,16.0,0.0,438.0136161666667,6.326642736014394,92.81240016666666,0.03170919648459184
GIST1M,2147483648,benefit,6,bf377c5ad52c743759777a38a0fe6d764b8aced6f81b528f80091621e61e8ac8,0959b355073bfb34bf87b959c0725bf4c3770bdc62b48cc49fb2eb85d356e814,57976c8bda972c3d2040823766661cb9d790545f2b82a6caa325f6c375aea44c,skv-node3,352593320118185714,1,14435817900986100451,2,fnv1a64,field_scoped_physical_artifacts,replicated_header_source_bytes,descriptor_slice_of_replicated_header,global_budget_map_source_bytes,per_mn_offset_table_source_bytes,per_mn_record_payload_source_bytes,global_selected_uid_u32le_sequence,0,3f1ed30ea8cc08f91f55537b006d1c1ad8e13a965e8c1d2ee358a4b67795c0b7,2147483568,77673,staged,20,20,1,67108864,802.0,0.0,0.9276,0.0,79805.6835,55.9978810195107,88333.02766666666,105.88029565222396,91675.35683333334,141.1790821821749,648.625,0.0,14313858.236,0.0,10088.287259666668,12.377812482718417,186.51863766666665,0.5585613251373102,4165.1125135,9.619313837488741,32.0,0.0,853.2031346666666,8.856713908015692,186.69505716666666,0.014180656715002831
GIST1M,2147483648,hop,6,bf377c5ad52c743759777a38a0fe6d764b8aced6f81b528f80091621e61e8ac8,0959b355073bfb34bf87b959c0725bf4c3770bdc62b48cc49fb2eb85d356e814,57976c8bda972c3d2040823766661cb9d790545f2b82a6caa325f6c375aea44c,skv-node3,2631781111843267204,1,14435817900986100451,2,fnv1a64,field_scoped_physical_artifacts,replicated_header_source_bytes,descriptor_slice_of_replicated_header,global_budget_map_source_bytes,per_mn_offset_table_source_bytes,per_mn_record_payload_source_bytes,global_selected_uid_u32le_sequence,0,629836baf120753186c6b81b08f9b6f42eeb6dff6b97475f939ab2e4587b8859,2147483072,134219,staged,20,20,1,67108864,638.3333333333334,0.5420143909528602,0.9276,0.0,100373.25683333333,55.95782816474666,121479.26916666667,189.9404201125219,128066.32866666667,370.900745559218,691.391,0.0,17956931.404,0.0,10433.191952666666,40.769937445273115,821.0355951666667,9.766709226754656,4168.962063333333,36.19136697222972,32.0,0.0,834.0247431666667,12.696999560047852,186.7073625,0.037469454800017746
GIST1M,2147483648,indeg,6,bf377c5ad52c743759777a38a0fe6d764b8aced6f81b528f80091621e61e8ac8,0959b355073bfb34bf87b959c0725bf4c3770bdc62b48cc49fb2eb85d356e814,57976c8bda972c3d2040823766661cb9d790545f2b82a6caa325f6c375aea44c,skv-node3,6699602598500427910,1,14435817900986100451,2,fnv1a64,field_scoped_physical_artifacts,replicated_header_source_bytes,descriptor_slice_of_replicated_header,global_budget_map_source_bytes,per_mn_offset_table_source_bytes,per_mn_record_payload_source_bytes,global_selected_uid_u32le_sequence,0,6aeac550a8c343fa09729c3a7f582718b49d9d2dc42b7d58c1f383f9010e1fc5,2147482696,77808,staged,20,20,1,67108864,800.8333333333334,0.42850000000000005,0.9276,0.0,79971.86966666667,50.02374525494046,88346.10216666666,137.52556032740037,91670.78066666667,165.38178947938968,649.004,0.0,14338748.896,0.0,9890.184444999999,27.51168997466748,185.9000003333333,0.9604133173007976,4138.690149166667,31.597102265908507,32.0,0.0,842.3425703333332,8.61729181896095,186.70734783333333,0.03039703227945707
SIFT1M,536870912,benefit,6,bf377c5ad52c743759777a38a0fe6d764b8aced6f81b528f80091621e61e8ac8,d1daa707b63b20514946d08ba4e8b307bd894b1203834a4496df2a0da98d1eca,57976c8bda972c3d2040823766661cb9d790545f2b82a6caa325f6c375aea44c,skv-node3,13235977918877283193,1,17728295184175731646,2,fnv1a64,field_scoped_physical_artifacts,replicated_header_source_bytes,descriptor_slice_of_replicated_header,global_budget_map_source_bytes,per_mn_offset_table_source_bytes,per_mn_record_payload_source_bytes,global_selected_uid_u32le_sequence,0,468d48bea5d932b55950c2e104683a979bb0f00b1fdde2e7a9040902c710d7ad,536870864,139027,staged,20,20,1,67108864,5495.333333333333,13.887631453923309,0.99222,0.0,11589.616333333333,36.44490054415228,13128.542166666666,38.63981337013301,13912.118,33.43457286256059,356.1515,0.0,1253266.0712,0.0,3143.3100233333334,10.492472016944067,244.1357865,1.0776380678370863,1141.4414273333332,11.409820265912774,8.0,0.0,277.74749049999997,4.679575725306889,45.92810283333333,0.034745867616994754
SIFT1M,536870912,hop,6,bf377c5ad52c743759777a38a0fe6d764b8aced6f81b528f80091621e61e8ac8,d1daa707b63b20514946d08ba4e8b307bd894b1203834a4496df2a0da98d1eca,57976c8bda972c3d2040823766661cb9d790545f2b82a6caa325f6c375aea44c,skv-node3,10479203735952711308,1,17728295184175731646,2,fnv1a64,field_scoped_physical_artifacts,replicated_header_source_bytes,descriptor_slice_of_replicated_header,global_budget_map_source_bytes,per_mn_offset_table_source_bytes,per_mn_record_payload_source_bytes,global_selected_uid_u32le_sequence,0,3b02846274865efeccc3171317aa31bf0a233ec50a755b3b8dac7bee72b668d9,536870880,162177,staged,20,20,1,67108864,4888.666666666667,10.779138731828255,0.99222,0.0,13289.68,26.889938207235264,16498.853333333333,77.75701188653181,17793.909333333333,191.79158006791073,370.8976,0.0,1383615.1976,0.0,3711.0287438333335,4.060446919656782,1091.0478786666667,4.945842189363493,1144.4138466666666,5.431326723864944,8.0,0.0,268.83247,2.4891513879052214,45.914765333333335,0.022430553353202428
