topology,n,qps_mean,qps_ci95,recall_mean,recall_ci95,latency_us_mean,latency_us_ci95,network_us_mean,network_us_ci95,compute_us_mean,compute_us_ci95,meta_us_mean,meta_us_ci95,deserialize_us_mean,deserialize_us_ci95
loopback,5,4192.7672,384.48554440029613,0.908918,2.6914318568370587e-05,2200.724,194.58527801113897,423.8812,71.79833312839601,1739.19,125.91125175040901,40.5822,3.4308141845196807,1793.872,294.90717796018583
remote,5,294.28159999999997,3.60800956488169,0.908918,4.4242159802588243e-05,18463.280000000002,3182.94719144759,17941.56,3138.198549629402,387.4028,44.03873668550978,39.5824,1.7327087534542414,471.683,38.82519717278176
