dataset,method,ef,n,campaign_ids,binary_sha256s,threads,query_contexts,top_k,metric,expected_queries,recall_mean,recall_median,recall_ci95,qps_mean,qps_median,qps_ci95,run_ids,p50_us_n,p50_us_mean,p50_us_median,p50_us_ci95,p95_us_n,p95_us_mean,p95_us_median,p95_us_ci95,p99_us_n,p99_us_mean,p99_us_median,p99_us_ci95,mean_latency_us_n,mean_latency_us_mean,mean_latency_us_median,mean_latency_us_ci95,posts_per_query_n,posts_per_query_mean,posts_per_query_median,posts_per_query_ci95,bytes_per_query_n,bytes_per_query_mean,bytes_per_query_median,bytes_per_query_ci95,network_us_n,network_us_mean,network_us_median,network_us_ci95,compute_us_n,compute_us_mean,compute_us_median,compute_us_ci95,meta_us_n,meta_us_mean,meta_us_median,meta_us_ci95,deserialize_us_n,deserialize_us_mean,deserialize_us_median,deserialize_us_ci95
DEEP10M,d-HNSW,48.0,5,dhnsw-17d63b6f-5a31-4f66-8bc5-c51f212b689d,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,10,,10,l2,10000,0.898474,0.89839,0.0002593146578502554,439.99760000000003,445.408,15.54564145653042,r0;r1;r2;r3;r4,0,,,,0,,,,0,,,,5,20590.782,20301.3,946.3646523957118,0,,,,0,,,,5,1532.8042,1500.465,123.64024340827238,5,619.0832,632.471,41.98721289709461,5,41.7568,40.742,3.0380213993090694,5,6632.7416,6631.27,579.0483710576837
DEEP10M,d-HNSW,64.0,5,dhnsw-17d63b6f-5a31-4f66-8bc5-c51f212b689d,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,10,,10,l2,10000,0.909196,0.90911,0.00020429549485001067,442.3858,452.606,23.94203131572278,r0;r1;r2;r3;r4,0,,,,0,,,,0,,,,5,20596.112,20340.14,1538.7415984560068,0,,,,0,,,,5,1496.0448000000001,1494.297,120.60821908650858,5,751.5154,738.282,85.85376165626973,5,40.492,39.422,2.834659494027176,5,6517.1584,6295.14,1054.8837205546874
DEEP10M,d-HNSW,96.0,5,dhnsw-17d63b6f-5a31-4f66-8bc5-c51f212b689d,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,10,,10,l2,10000,0.917422,0.91743,0.00010801458449669295,434.5406,443.417,27.70977527860243,r0;r1;r2;r3;r4,0,,,,0,,,,0,,,,5,20711.984,20780.32,1191.0425743420087,0,,,,0,,,,5,1522.6000000000001,1444.143,166.3006259529807,5,1010.3668,973.077,124.80102639983764,5,41.575599999999994,41.934,2.6979604816882254,5,6656.3732,6066.949,1168.9472989270134
DEEP10M,d-HNSW,128.0,5,dhnsw-17d63b6f-5a31-4f66-8bc5-c51f212b689d,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,10,,10,l2,10000,0.920462,0.92046,6.592634726721737e-05,432.916,440.125,25.75797619858009,r0;r1;r2;r3;r4,0,,,,0,,,,0,,,,5,20835.548,20126.13,1331.28038175941,0,,,,0,,,,5,1520.4798,1498.733,173.82072986835922,5,1240.7522,1269.005,94.59268358651798,5,41.3122,41.805,2.6137836893302104,5,6598.4896,6451.163,917.9266092351768
DEEP10M,d-HNSW,200.0,5,dhnsw-17d63b6f-5a31-4f66-8bc5-c51f212b689d,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,10,,10,l2,10000,0.923096,0.92309,5.524170250817295e-05,415.64820000000003,412.67,24.987921014396,r0;r1;r2;r3;r4,0,,,,0,,,,0,,,,5,21688.667999999998,21768.55,1339.6550042718438,0,,,,0,,,,5,1567.5512,1617.96,131.25755074392336,5,1797.6754,1821.999,204.57670047323361,5,41.362,41.973,2.7867137013570633,5,7002.0696,7274.724,976.7549682501518
SIFT10M,SHINE,64.0,5,vldb-frontier-text-sift-sw-final-v2-20260714,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.90657,0.90657,0.0,2231.6,2231.0,2.8580669271379904,r1;r2;r3;r4;r5,5,9105.469799999999,9109.989,13.945495856267183,5,11299.1244,11304.225,18.66577025930373,5,12577.7706,12575.502,74.82428558842513,0,,,,5,1465.7615,1465.7615,0.0,5,751071.2348,751071.2348,0.0,0,,,,0,,,,0,,,,0,,,
SIFT10M,SHINE,96.0,5,vldb-frontier-text-sift-sw-final-v2-20260714,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.94151,0.94151,0.0,1624.8,1624.0,5.6483244099467225,r1;r2;r3;r4;r5,5,12595.1384,12618.024,55.41569825100806,5,15461.8244,15458.732,70.82696980867162,5,16574.5778,16582.252,84.36796414975625,0,,,,5,2009.8959,2009.8959,0.0,5,1029952.5392,1029952.5392,0.0,0,,,,0,,,,0,,,,0,,,
SIFT10M,SHINE,128.0,5,vldb-frontier-text-sift-sw-final-v2-20260714,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.95959,0.95959,0.0,1277.0,1277.0,2.3225682336585933,r1;r2;r3;r4;r5,5,16092.467200000001,16098.58,32.23292739773634,5,19718.7192,19728.029,59.06042580235932,5,20943.5468,20962.412,66.49290882035874,0,,,,5,2537.9867,2537.9867,0.0,5,1300294.322,1300294.322,0.0,0,,,,0,,,,0,,,,0,,,
SIFT10M,SHINE,160.0,5,vldb-frontier-text-sift-sw-final-v2-20260714,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.97032,0.97032,0.0,1057.2,1058.0,3.866520585746311,r1;r2;r3;r4;r5,5,19477.4222,19461.66,72.91998347893536,5,23963.1598,23939.046000000002,102.27558487634201,5,25315.762600000002,25262.959,117.21074990522976,0,,,,5,3052.1095,3052.1095,0.0,5,1563222.7572,1563222.7572,0.0,0,,,,0,,,,0,,,,0,,,
SIFT10M,SHINE,200.0,5,vldb-frontier-text-sift-sw-final-v2-20260714,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.97866,0.97866,0.0,876.6,876.0,1.882774803315574,r1;r2;r3;r4;r5,5,23530.1644,23536.134000000002,45.409628221486315,5,29047.3482,29036.663,51.457049079195805,5,30582.2664,30587.396,94.46844388813658,0,,,,5,3677.0338,3677.0338,0.0,5,1882515.0476,1882515.0476,0.0,0,,,,0,,,,0,,,,0,,,
