dataset,ef,campaign_id,protocol_fingerprint,binary_sha256,threads,duration_s,measurement_mode,processed_queries,expected_queries,failed_queries,wall_seconds,top_k,metric,query_rows,ground_truth_rows,query_rows_per_ground_truth,qps_recomputed,recall,latency_us,network_us,compute_us,meta_us,deserialize_us,raw_qps_buggy,server_rss_before_gb,server_rss_after_gb,status
sift1M,48,vldb-1m-seven-final-v2-20260715,47db6fdb0ca0d550f31cd8cbee8ee662e2f7af28f971d7d748430c3bbd1c67c9,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.281920,10,l2,10000,10000,1,4382.274,0.893220,2095.500,388.450,786.842,35.749,1886.160,479.263,3.313,3.456,ok
sift1M,64,vldb-1m-seven-final-v2-20260715,d8ce851150ec292005e6669c6355e05e8d3f3065acfb41f235a8aa49d29a3a9a,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.110626,10,l2,10000,10000,1,4737.930,0.896230,1810.330,247.581,612.777,174.404,1481.850,556.078,3.313,3.456,ok
sift1M,96,vldb-1m-seven-final-v2-20260715,3ed4b182e729e72df5ad435bd5e59bc71636a2750bf58ebbf9e042ac482e948a,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.570932,10,l2,10000,10000,1,3889.640,0.898020,2357.650,416.630,1133.010,38.914,2087.280,428.982,3.313,3.456,ok
sift1M,128,vldb-1m-seven-final-v2-20260715,5b13a64e9ead0acec71631debb116974a67552203af8640ab6118ca2f962124f,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.916295,10,l2,10000,10000,1,3429.008,0.898630,2550.980,370.408,1263.040,72.695,2001.220,395.15,3.313,3.456,ok
sift1M,200,vldb-1m-seven-final-v2-20260715,cf98599c73b8040b76a0f8b55b03747d197b8d0e547fcc784b0cc661d7192595,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.711672,10,l2,10000,10000,1,3687.761,0.898880,2509.920,376.783,1453.290,34.374,1859.980,403.707,3.313,3.456,ok
gist1M,48,vldb-1m-seven-final-v2-20260715,cf541db1e709ca1e844a2e21cab07589f4a3baec50261a6be7bc76809d986a56,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,11.737804,10,l2,10000,10000,1,851.948,0.737700,10032.000,547.702,1276.820,39.921,4573.020,100.346,16.394,16.588,ok
gist1M,64,vldb-1m-seven-final-v2-20260715,768716a6a463a804b042ffec84be915ce9c7ffe0b2f2d733677634b5e9b64402,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,12.847994,10,l2,10000,10000,1,778.332,0.748700,10877.200,558.015,1452.960,37.458,4966.340,92.8346,16.394,16.588,ok
gist1M,96,vldb-1m-seven-final-v2-20260715,463a02f85648d63a83ec16ae2445053e2726e8048988902274b155c3615b08f9,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,14.219358,10,l2,10000,10000,1,703.267,0.760400,12406.100,520.374,2443.280,36.636,6123.020,81.4435,16.394,16.588,ok
gist1M,128,vldb-1m-seven-final-v2-20260715,8a18f4bd17a67f8368a9632d1979655571ce3205189f531ddb3e2f0978fb15bb,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,18.822047,10,l2,10000,10000,1,531.292,0.765700,17094.700,511.364,3775.480,40.362,6635.960,58.6874,16.394,16.588,ok
gist1M,200,vldb-1m-seven-final-v2-20260715,515faeb1204fbf56a88e138c458c5f6abc84c89fb6b984a4b5b8be3759e19f9b,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,16.323578,10,l2,10000,10000,1,612.611,0.768300,15351.000,535.984,5701.090,38.114,6516.330,65.153,16.394,16.588,ok
deep1M,48,vldb-1m-seven-final-v2-20260715,870fe41c194fd698ff25e9f5343d3250bda079f5b87e7987113db52fc7e978f3,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,1.890794,10,l2,10000,10000,1,5288.784,0.901160,1775.320,309.318,578.084,33.704,1535.280,564.655,2.839,2.981,ok
deep1M,64,vldb-1m-seven-final-v2-20260715,3fd882e3075d98499021ccc40ac1a2388ff2a7a361de1f46722e6d6e2046ede5,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.064090,10,l2,10000,10000,1,4844.749,0.904740,1918.790,369.355,790.408,35.974,1709.100,523.853,2.839,2.981,ok
deep1M,96,vldb-1m-seven-final-v2-20260715,48f7f9a97770c09397c96bfe5d6e73a159703c072a2b935428d64ecf1cadbb7c,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.114507,10,l2,10000,10000,1,4729.235,0.907400,2015.880,340.673,762.787,36.379,1778.560,496.011,2.839,2.981,ok
deep1M,128,vldb-1m-seven-final-v2-20260715,b646c19489cfb973a97af96c26a09820a69b2723bf935c9fbe0a50f25ad96d00,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.157260,10,l2,10000,10000,1,4635.511,0.908310,2029.830,300.772,1089.590,34.196,1756.340,492.462,2.839,2.981,ok
deep1M,200,vldb-1m-seven-final-v2-20260715,6dcd0bb23cb6d688e5ce44deb07de8e191ebdba3eda367ba8aa347006476c6bc,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.292761,10,l2,10000,10000,1,4361.554,0.908890,2095.040,304.108,1202.200,40.225,1728.980,483.19,2.839,2.981,ok
bigann1M,48,vldb-1m-seven-final-v2-20260715,dad5afb83d9cf7470763d357a2ac743e737ab78b4e70be27c0ff41c3e27c7452,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.218298,10,l2,10000,10000,1,4507.960,0.880780,2034.230,363.811,645.856,37.068,1786.390,493.375,3.313,3.459,ok
bigann1M,64,vldb-1m-seven-final-v2-20260715,06d405f9d4fbd66637f2e626a4e6971301a341b32cd78b5eb0e3e4e2f7e13fa6,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.468554,10,l2,10000,10000,1,4050.954,0.883050,2301.320,418.740,871.350,31.939,1961.010,436.61,3.313,3.459,ok
bigann1M,96,vldb-1m-seven-final-v2-20260715,44323c4933ce3ec1c4ebf2f1df43973647e211c3c3b68a6dc3241425cf04174d,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.649403,10,l2,10000,10000,1,3774.436,0.884570,2463.040,441.658,1103.460,37.383,2108.760,413.258,3.313,3.459,ok
bigann1M,128,vldb-1m-seven-final-v2-20260715,dfd26cdd4408562de35cddf13d4493d645d24a8138e3a942f2ac820ad8e4d35b,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.519946,10,l2,10000,10000,1,3968.339,0.884890,2270.420,398.516,1134.240,44.392,1965.020,443.797,3.313,3.459,ok
bigann1M,200,vldb-1m-seven-final-v2-20260715,983974163a1229d50a3daf8b68ce12084d988bab931278ef188300c92d6be317,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.734738,10,l2,10000,10000,1,3656.657,0.885010,2495.350,383.460,1704.180,37.591,2081.650,403.098,3.313,3.459,ok
spacev1M,48,vldb-1m-seven-final-v2-20260715,2e657c7c4166dd8d923a87931c8db1d8068d79e30fde51196849943e642030d7,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.093355,10,l2,10000,10000,1,4777.019,0.787090,1874.200,341.568,757.002,38.563,1657.020,538.062,2.888,3.031,ok
spacev1M,64,vldb-1m-seven-final-v2-20260715,c25d5b33850d653370e034643c93798693f2a35973aee3606d853183aeb383e7,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.026274,10,l2,10000,10000,1,4935.166,0.792180,1779.850,276.535,721.166,39.147,1540.270,566.43,2.888,3.031,ok
spacev1M,96,vldb-1m-seven-final-v2-20260715,f169aa816e9387145a9033b457f8b3f64596375ea268af278160eac6da0a77e3,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.090481,10,l2,10000,10000,1,4783.588,0.796110,1923.950,298.824,1080.170,36.080,1664.550,520.617,2.888,3.031,ok
spacev1M,128,vldb-1m-seven-final-v2-20260715,e765e80b88cd6090378d15c5c30efd0ff2c87a1599809aee215a632d97d48ec4,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.211894,10,l2,10000,10000,1,4521.013,0.797640,2065.250,305.355,1260.590,32.342,1800.160,483.461,2.888,3.031,ok
spacev1M,200,vldb-1m-seven-final-v2-20260715,d1a88ca70b33ca648e73d0d6deb0c39b02737f722b828c7559549e5fee066bce,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.451326,10,l2,10000,10000,1,4079.425,0.799100,2234.520,304.415,1421.710,35.336,1792.280,452.379,2.888,3.031,ok
turing1M,48,vldb-1m-seven-final-v2-20260715,f5c8cbdfe70772d28098abb2e3fd006e24a82e5880743ddb4902b91ff476d02c,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.157915,10,l2,10000,10000,1,4634.104,0.593460,1976.940,340.071,997.388,38.453,1760.180,510.212,2.888,3.030,ok
turing1M,64,vldb-1m-seven-final-v2-20260715,c594849ec7b80c00b708cdfa3b494a3eccb00ce047e3617b2b29bfde1800175e,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.016110,10,l2,10000,10000,1,4960.047,0.597320,1880.110,306.784,938.886,32.918,1650.970,531.7,2.888,3.030,ok
