dataset,ef,campaign_id,protocol_fingerprint,binary_sha256,threads,duration_s,measurement_mode,processed_queries,expected_queries,failed_queries,wall_seconds,top_k,metric,query_rows,ground_truth_rows,query_rows_per_ground_truth,qps_recomputed,recall,latency_us,network_us,compute_us,meta_us,deserialize_us,raw_qps_buggy,server_rss_before_gb,server_rss_after_gb,status
sift1M,48,vldb-1m-seven-final-v2-20260715,47db6fdb0ca0d550f31cd8cbee8ee662e2f7af28f971d7d748430c3bbd1c67c9,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,1.994774,10,l2,10000,10000,1,5013.099,0.893330,1871.710,259.352,565.180,38.414,1722.220,533.189,3.313,3.457,ok
sift1M,64,vldb-1m-seven-final-v2-20260715,d8ce851150ec292005e6669c6355e05e8d3f3065acfb41f235a8aa49d29a3a9a,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.304275,10,l2,10000,10000,1,4339.760,0.896240,2134.840,340.274,804.949,34.834,1866.290,471.74,3.313,3.457,ok
sift1M,96,vldb-1m-seven-final-v2-20260715,3ed4b182e729e72df5ad435bd5e59bc71636a2750bf58ebbf9e042ac482e948a,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.206084,10,l2,10000,10000,1,4532.919,0.898030,2037.070,359.491,855.708,37.326,1795.040,494.065,3.313,3.457,ok
sift1M,128,vldb-1m-seven-final-v2-20260715,5b13a64e9ead0acec71631debb116974a67552203af8640ab6118ca2f962124f,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.564381,10,l2,10000,10000,1,3899.577,0.898640,2311.160,348.030,1345.870,35.740,1895.370,437.448,3.313,3.457,ok
sift1M,200,vldb-1m-seven-final-v2-20260715,cf98599c73b8040b76a0f8b55b03747d197b8d0e547fcc784b0cc661d7192595,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.779964,10,l2,10000,10000,1,3597.169,0.898970,2540.700,416.519,1537.660,32.941,2223.350,399.229,3.313,3.457,ok
gist1M,48,vldb-1m-seven-final-v2-20260715,cf541db1e709ca1e844a2e21cab07589f4a3baec50261a6be7bc76809d986a56,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,13.046707,10,l2,10000,10000,1,766.477,0.737400,11018.200,531.297,1577.690,41.762,6125.960,91.9168,16.394,16.585,ok
gist1M,64,vldb-1m-seven-final-v2-20260715,768716a6a463a804b042ffec84be915ce9c7ffe0b2f2d733677634b5e9b64402,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,12.979689,10,l2,10000,10000,1,770.434,0.748400,10925.800,539.233,1659.670,37.817,5958.870,92.7031,16.394,16.585,ok
gist1M,96,vldb-1m-seven-final-v2-20260715,463a02f85648d63a83ec16ae2445053e2726e8048988902274b155c3615b08f9,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,13.330141,10,l2,10000,10000,1,750.180,0.759700,11384.300,534.990,2385.450,36.260,5973.030,88.9258,16.394,16.585,ok
gist1M,128,vldb-1m-seven-final-v2-20260715,8a18f4bd17a67f8368a9632d1979655571ce3205189f531ddb3e2f0978fb15bb,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,13.977214,10,l2,10000,10000,1,715.450,0.765000,12056.600,525.209,3010.070,41.964,6393.690,84.0888,16.394,16.585,ok
gist1M,200,vldb-1m-seven-final-v2-20260715,515faeb1204fbf56a88e138c458c5f6abc84c89fb6b984a4b5b8be3759e19f9b,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,17.979655,10,l2,10000,10000,1,556.184,0.768200,14857.700,569.617,7477.340,38.725,6710.010,68.2168,16.394,16.585,ok
deep1M,48,vldb-1m-seven-final-v2-20260715,870fe41c194fd698ff25e9f5343d3250bda079f5b87e7987113db52fc7e978f3,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.152262,10,l2,10000,10000,1,4646.274,0.901250,1996.660,386.358,658.724,38.143,1769.880,505.034,2.839,2.982,ok
deep1M,64,vldb-1m-seven-final-v2-20260715,3fd882e3075d98499021ccc40ac1a2388ff2a7a361de1f46722e6d6e2046ede5,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.204072,10,l2,10000,10000,1,4537.057,0.904700,1986.630,374.459,704.087,34.547,1696.770,520.023,2.839,2.982,ok
deep1M,96,vldb-1m-seven-final-v2-20260715,48f7f9a97770c09397c96bfe5d6e73a159703c072a2b935428d64ecf1cadbb7c,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.024643,10,l2,10000,10000,1,4939.141,0.907370,1889.580,315.111,798.887,33.047,1625.360,532.018,2.839,2.982,ok
deep1M,128,vldb-1m-seven-final-v2-20260715,b646c19489cfb973a97af96c26a09820a69b2723bf935c9fbe0a50f25ad96d00,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.070593,10,l2,10000,10000,1,4829.535,0.908260,1832.980,286.692,1064.090,38.492,1586.800,548.374,2.839,2.982,ok
deep1M,200,vldb-1m-seven-final-v2-20260715,6dcd0bb23cb6d688e5ce44deb07de8e191ebdba3eda367ba8aa347006476c6bc,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.337290,10,l2,10000,10000,1,4278.459,0.908870,2109.560,340.465,1356.850,38.915,1722.820,476.857,2.839,2.982,ok
bigann1M,48,vldb-1m-seven-final-v2-20260715,dad5afb83d9cf7470763d357a2ac743e737ab78b4e70be27c0ff41c3e27c7452,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.463117,10,l2,10000,10000,1,4059.896,0.880700,2292.520,452.757,856.564,34.764,2125.870,442.184,3.313,3.456,ok
bigann1M,64,vldb-1m-seven-final-v2-20260715,06d405f9d4fbd66637f2e626a4e6971301a341b32cd78b5eb0e3e4e2f7e13fa6,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.304958,10,l2,10000,10000,1,4338.473,0.882970,2191.260,388.013,795.930,37.881,2015.420,458.741,3.313,3.456,ok
bigann1M,96,vldb-1m-seven-final-v2-20260715,44323c4933ce3ec1c4ebf2f1df43973647e211c3c3b68a6dc3241425cf04174d,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.585002,10,l2,10000,10000,1,3868.469,0.884580,2411.570,429.400,1348.750,39.919,2107.680,416.692,3.313,3.456,ok
bigann1M,128,vldb-1m-seven-final-v2-20260715,dfd26cdd4408562de35cddf13d4493d645d24a8138e3a942f2ac820ad8e4d35b,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.595439,10,l2,10000,10000,1,3852.913,0.884250,2433.760,416.282,1305.840,39.705,2086.040,414.261,3.313,3.456,ok
bigann1M,200,vldb-1m-seven-final-v2-20260715,983974163a1229d50a3daf8b68ce12084d988bab931278ef188300c92d6be317,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.682972,10,l2,10000,10000,1,3727.210,0.885000,2525.130,386.501,1569.200,34.271,2053.960,399.24,3.313,3.456,ok
