dataset,ef,campaign_id,protocol_fingerprint,binary_sha256,threads,duration_s,measurement_mode,processed_queries,expected_queries,failed_queries,wall_seconds,top_k,metric,query_rows,ground_truth_rows,query_rows_per_ground_truth,qps_recomputed,recall,latency_us,network_us,compute_us,meta_us,deserialize_us,raw_qps_buggy,server_rss_before_gb,server_rss_after_gb,status
sift1M,48,vldb-1m-seven-final-v2-20260715,47db6fdb0ca0d550f31cd8cbee8ee662e2f7af28f971d7d748430c3bbd1c67c9,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.214379,10,l2,10000,10000,1,4515.938,0.893240,2081.150,363.693,731.370,34.489,1908.100,480.593,3.313,3.457,ok
sift1M,64,vldb-1m-seven-final-v2-20260715,d8ce851150ec292005e6669c6355e05e8d3f3065acfb41f235a8aa49d29a3a9a,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.306447,10,l2,10000,10000,1,4335.672,0.896220,2145.340,346.735,749.279,34.227,1919.060,468.648,3.313,3.457,ok
sift1M,96,vldb-1m-seven-final-v2-20260715,3ed4b182e729e72df5ad435bd5e59bc71636a2750bf58ebbf9e042ac482e948a,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.380580,10,l2,10000,10000,1,4200.657,0.897990,2239.520,379.790,982.038,38.408,1950.550,448.776,3.313,3.457,ok
sift1M,128,vldb-1m-seven-final-v2-20260715,5b13a64e9ead0acec71631debb116974a67552203af8640ab6118ca2f962124f,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.572081,10,l2,10000,10000,1,3887.902,0.898610,2451.940,439.140,1355.570,34.023,2001.840,408.777,3.313,3.457,ok
sift1M,200,vldb-1m-seven-final-v2-20260715,cf98599c73b8040b76a0f8b55b03747d197b8d0e547fcc784b0cc661d7192595,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.587233,10,l2,10000,10000,1,3865.133,0.898890,2401.610,395.427,1528.770,35.056,1939.110,418.05,3.313,3.457,ok
gist1M,48,vldb-1m-seven-final-v2-20260715,cf541db1e709ca1e844a2e21cab07589f4a3baec50261a6be7bc76809d986a56,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,12.677594,10,l2,10000,10000,1,788.793,0.736200,10238.900,548.392,1499.020,41.344,5328.020,99.2776,16.394,16.589,ok
gist1M,64,vldb-1m-seven-final-v2-20260715,768716a6a463a804b042ffec84be915ce9c7ffe0b2f2d733677634b5e9b64402,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,13.209527,10,l2,10000,10000,1,757.029,0.747600,11454.400,528.368,1835.630,40.414,6301.980,88.3544,16.394,16.589,ok
gist1M,96,vldb-1m-seven-final-v2-20260715,463a02f85648d63a83ec16ae2445053e2726e8048988902274b155c3615b08f9,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,13.565851,10,l2,10000,10000,1,737.145,0.759600,11451.500,532.935,2484.780,41.713,5878.660,88.3894,16.394,16.589,ok
gist1M,128,vldb-1m-seven-final-v2-20260715,8a18f4bd17a67f8368a9632d1979655571ce3205189f531ddb3e2f0978fb15bb,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,14.568720,10,l2,10000,10000,1,686.402,0.764800,12311.500,524.914,3240.580,37.473,6806.480,82.8705,16.394,16.589,ok
gist1M,200,vldb-1m-seven-final-v2-20260715,515faeb1204fbf56a88e138c458c5f6abc84c89fb6b984a4b5b8be3759e19f9b,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,18.690839,10,l2,10000,10000,1,535.021,0.767900,16437.700,530.664,5884.310,38.174,7022.660,61.3591,16.394,16.589,ok
