dataset,ef,campaign_id,protocol_fingerprint,binary_sha256,threads,duration_s,measurement_mode,processed_queries,expected_queries,failed_queries,wall_seconds,top_k,metric,query_rows,ground_truth_rows,query_rows_per_ground_truth,qps_recomputed,recall,latency_us,network_us,compute_us,meta_us,deserialize_us,raw_qps_buggy,server_rss_before_gb,server_rss_after_gb,status
sift1M,48,vldb-1m-seven-final-v2-20260715,47db6fdb0ca0d550f31cd8cbee8ee662e2f7af28f971d7d748430c3bbd1c67c9,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.468560,10,l2,10000,10000,1,4050.945,0.893380,2225.090,424.112,843.252,38.655,2053.130,454.34,3.313,3.458,ok
sift1M,64,vldb-1m-seven-final-v2-20260715,d8ce851150ec292005e6669c6355e05e8d3f3065acfb41f235a8aa49d29a3a9a,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.256004,10,l2,10000,10000,1,4432.616,0.896300,2096.940,342.042,837.338,36.290,1897.770,477.261,3.313,3.458,ok
sift1M,96,vldb-1m-seven-final-v2-20260715,3ed4b182e729e72df5ad435bd5e59bc71636a2750bf58ebbf9e042ac482e948a,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.300792,10,l2,10000,10000,1,4346.329,0.898030,2186.390,382.772,1005.110,36.520,1972.380,458.18,3.313,3.458,ok
sift1M,128,vldb-1m-seven-final-v2-20260715,5b13a64e9ead0acec71631debb116974a67552203af8640ab6118ca2f962124f,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.562568,10,l2,10000,10000,1,3902.336,0.898670,2364.850,382.075,1316.490,33.941,2060.370,423.752,3.313,3.458,ok
sift1M,200,vldb-1m-seven-final-v2-20260715,cf98599c73b8040b76a0f8b55b03747d197b8d0e547fcc784b0cc661d7192595,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,2.791572,10,l2,10000,10000,1,3582.211,0.898980,2552.080,420.789,1571.820,34.019,2070.130,399.288,3.313,3.458,ok
gist1M,48,vldb-1m-seven-final-v2-20260715,cf541db1e709ca1e844a2e21cab07589f4a3baec50261a6be7bc76809d986a56,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,11.543237,10,l2,10000,10000,1,866.308,0.735900,9925.970,550.937,1190.850,39.867,4510.200,101.58,16.394,16.586,ok
gist1M,64,vldb-1m-seven-final-v2-20260715,768716a6a463a804b042ffec84be915ce9c7ffe0b2f2d733677634b5e9b64402,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,13.620796,10,l2,10000,10000,1,734.171,0.747800,11922.100,529.906,1965.290,42.029,5541.980,84.406,16.394,16.586,ok
gist1M,96,vldb-1m-seven-final-v2-20260715,463a02f85648d63a83ec16ae2445053e2726e8048988902274b155c3615b08f9,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,13.900950,10,l2,10000,10000,1,719.375,0.759600,12506.600,520.293,2207.830,36.933,5753.890,80.6988,16.394,16.586,ok
gist1M,128,vldb-1m-seven-final-v2-20260715,8a18f4bd17a67f8368a9632d1979655571ce3205189f531ddb3e2f0978fb15bb,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,15.252960,10,l2,10000,10000,1,655.610,0.764500,13397.300,544.113,3998.210,36.047,7219.110,74.8004,16.394,16.586,ok
gist1M,200,vldb-1m-seven-final-v2-20260715,515faeb1204fbf56a88e138c458c5f6abc84c89fb6b984a4b5b8be3759e19f9b,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,20,fixed_query_pool,10000,10000,0,16.968731,10,l2,10000,10000,1,589.319,0.768100,15455.700,545.602,7136.870,36.598,6206.690,64.797,16.394,16.586,ok
