dataset,method,ef,n,campaign_ids,binary_sha256s,threads,query_contexts,top_k,metric,expected_queries,recall_mean,recall_median,recall_ci95,qps_mean,qps_median,qps_ci95,run_ids,p50_us_n,p50_us_mean,p50_us_median,p50_us_ci95,p95_us_n,p95_us_mean,p95_us_median,p95_us_ci95,p99_us_n,p99_us_mean,p99_us_median,p99_us_ci95,mean_latency_us_n,mean_latency_us_mean,mean_latency_us_median,mean_latency_us_ci95,posts_per_query_n,posts_per_query_mean,posts_per_query_median,posts_per_query_ci95,bytes_per_query_n,bytes_per_query_mean,bytes_per_query_median,bytes_per_query_ci95,network_us_n,network_us_mean,network_us_median,network_us_ci95,compute_us_n,compute_us_mean,compute_us_median,compute_us_ci95,meta_us_n,meta_us_mean,meta_us_median,meta_us_ci95,deserialize_us_n,deserialize_us_mean,deserialize_us_median,deserialize_us_ci95
BIGANN1M,SlabWalk,150.0,5,vldb-1m-seven-final-v2-20260715,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.98903,0.98903,0.0,12146.6,12147.0,14.493804116242218,r1;r2;r3;r4;r5,5,1627.7634,1628.035,2.468566268673284,5,1704.821,1703.423,5.399529159342052,5,1793.2512000000002,1787.851,11.645163973858185,0,,,,5,151.8184,151.8184,0.0,5,735777.7344,735777.7344,0.0,0,,,,0,,,,0,,,,0,,,
BIGANN1M,SlabWalk,200.0,5,vldb-1m-seven-final-v2-20260715,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.9938,0.9938,0.0,9181.2,9183.0,21.67058756563836,r1;r2;r3;r4;r5,5,2159.795,2159.25,4.622517814101198,5,2246.0022,2244.024,8.456979889108124,5,2316.3876,2317.331,10.192833757055801,0,,,,5,201.6607,201.6607,0.0,5,979049.7912,979049.7912,0.0,0,,,,0,,,,0,,,,0,,,
BIGANN1M,d-HNSW,48.0,5,vldb-1m-seven-final-v2-20260715,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,,10,l2,10000,0.88076,0.88077,4.210012446536551e-05,4472.8192,4507.96,367.58807766044265,r1;r2;r3;r4;r5,0,,,,0,,,,0,,,,5,2082.91,2034.23,184.24666786700044,0,,,,0,,,,5,364.2088,363.811,86.75726970805343,5,681.7684,645.856,126.17979518554688,5,36.5366,37.068,3.8778768206288547,5,1819.742,1759.06,216.35541623834214
BIGANN1M,d-HNSW,64.0,5,vldb-1m-seven-final-v2-20260715,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,,10,l2,10000,0.883008,0.88302,7.153251613078365e-05,3883.3156,4315.507,1202.2717529565186,r1;r2;r3;r4;r5,0,,,,0,,,,0,,,,5,2581.884,2191.26,1102.727763513239,0,,,,0,,,,5,383.0874,383.262,31.448422126754714,5,845.4005999999999,817.052,82.13260505260844,5,45.379,36.385,28.24639559918488,5,2181.364,1966.9,656.626963719708
BIGANN1M,d-HNSW,96.0,5,vldb-1m-seven-final-v2-20260715,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,,10,l2,10000,0.884556,0.88457,6.244457587332751e-05,3921.9506,3858.047,265.94094716649863,r1;r2;r3;r4;r5,0,,,,0,,,,0,,,,5,2374.78,2411.57,124.52648952847508,0,,,,0,,,,5,425.111,429.4,20.53359431003108,5,1196.936,1144.98,129.71313007365973,5,36.6926,37.383,3.78475085708734,5,2104.318,2107.68,99.5693292364708
BIGANN1M,d-HNSW,128.0,5,vldb-1m-seven-final-v2-20260715,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,,10,l2,10000,0.884744,0.88484,0.00034534154076218,3679.6312,3671.962,305.01385669374577,r1;r2;r3;r4;r5,0,,,,0,,,,0,,,,5,2464.096,2433.76,221.1263503198034,0,,,,0,,,,5,417.9394,416.282,38.9215129922296,5,1265.86,1274.36,100.37903301137264,5,38.573,38.791,4.8765143485075475,5,2108.03,2086.04,217.466275349281
BIGANN1M,d-HNSW,200.0,5,vldb-1m-seven-final-v2-20260715,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,,10,l2,10000,0.884998,0.885,2.220800000001065e-05,3686.4732,3681.53,60.992331090032785,r1;r2;r3;r4;r5,0,,,,0,,,,0,,,,5,2496.93,2495.35,60.47605739889606,0,,,,0,,,,5,373.0852,383.46,26.36239123526022,5,1651.776,1660.54,61.75049961587238,5,37.0756,37.591,2.0701727740880367,5,2085.574,2071.43,67.3331264130358
DEEP1M,SHINE,30.0,5,vldb-1m-seven-final-v2-20260715,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.8747,0.8747,0.0,4554.6,4547.0,14.652442231928433,r1;r2;r3;r4;r5,5,4388.9906,4396.051,13.333215117449967,5,5689.2558,5691.005,33.4929144752068,5,6437.5914,6428.386,54.2422521700249,0,,,,5,746.1578,746.1578,0.0,5,291405.326,291405.326,0.0,0,,,,0,,,,0,,,,0,,,
DEEP1M,SHINE,50.0,5,vldb-1m-seven-final-v2-20260715,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.92741,0.92741,0.0,3228.8,3227.0,4.336250620063374,r1;r2;r3;r4;r5,5,6265.903600000001,6266.963,11.69182538118864,5,7908.4922,7913.502,22.70993877112013,5,8706.8364,8702.756,31.08048032088913,0,,,,5,1051.207,1051.207,0.0,5,410713.934,410713.934,0.0,0,,,,0,,,,0,,,,0,,,
DEEP1M,SHINE,80.0,5,vldb-1m-seven-final-v2-20260715,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.95889,0.95889,0.0,2284.4,2284.0,8.71681681349333,r1;r2;r3;r4;r5,5,8918.7952,8923.0,34.21905806502723,5,11256.8752,11259.425000000001,44.2006425212876,5,12168.0794,12172.133,94.27818197076904,0,,,,5,1482.6155,1482.6155,0.0,5,579147.712,579147.712,0.0,0,,,,0,,,,0,,,,0,,,
