dataset,n,canonical_ef,build_mean_s,build_ci95_half_s,resident_build_mean_s,registered_mean_gib,materialized_mean_gib,lavd_build_fetch_share_pct,lavd_build_parse_share_pct,lavd_build_rank_share_pct,lavd_build_encode_share_pct,lavd_build_metadata_share_pct,lavd_build_materialize_share_pct
DEEP10M,5,48,278.4025560896,4.947918634842374,2.1588817512,40.0,35.26457587629557,3.362391428525302,0.43654322049588906,1.3370939687485384e-08,0.014369357964927571,0.20299525350986494,95.97497195630137
SIFT10M,5,64,247.1840579626,0.4570047417961365,3.629638978,40.0,28.897077076137066,3.949953910834781,0.551394318212675,1.3996978151535858e-08,0.021858304935010665,0.23679798181862394,95.23026320741839
TTI10M,5,100,290.06437699080004,0.9621496890149241,4.2666401276,40.0,39.15401245653629,4.575678357586047,0.516314882602307,1.289101735429219e-08,0.027795770825410224,0.23078682784815294,94.64111044829245
