campaign_id,protocol_fingerprint,binary_sha256,dataset,method,workers,repeat,threads,query_contexts,coroutines,top_k,ef,metric,measurement_mode,status,processed_queries,expected_queries,failed_queries,recall,qps,query_canonical_sha256,groundtruth_canonical_sha256,query_file_sha256,groundtruth_file_sha256,query_pool_manifest,query_pool_manifest_sha256,source,source_sha256
vldb-worker-scaling-final-node3-v1-20260713,9141f811c3609df83d93b2fe95bdc2045ecd457ffd0e0090e3c2d9e2ee2257dc,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,DEEP1M,SlabWalk,1,3,1,1,2,10,200,l2,fixed_query_pool,ok,10000,10000,0,0.98907,1245.0,68973a8fa5af6691d904c0f5a292136be6e3f21fed6b28154a1bfbdb1c93db57,edce835964026fe3161d1c3c0a9fdf5144fae22ee30d9b55585bebfca0117ce5,8438fc763f14e0f9741fda15b3e11215aef089ce17d1ad47d53b52a7c9fda5bb,40706891f31cac7124935bfff8ba970a72f31946a00f4e65f310c2429b9e9e88,query_pools/deep1m_slabwalk.json,82bd83cd8d0f0368e88be45da923f942d0e31da34e9524665c82a788a14cda12,raw_sources/slabwalk_w1_r3.json,c1a31d94b7aef7f277874a59258c075eaa9e0ccf310a5b21b117ce5bf3aa3685
vldb-worker-scaling-final-node3-v1-20260713,fd19573a23634c14ddd9fa5f9dcd23c3390e90a8adefbf149b4ba347c8c9cd0b,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,DEEP1M,d-HNSW,1,3,1,,,10,200,l2,fixed_query_pool,ok,10000,10000,0,0.9089,5669.374,68973a8fa5af6691d904c0f5a292136be6e3f21fed6b28154a1bfbdb1c93db57,edce835964026fe3161d1c3c0a9fdf5144fae22ee30d9b55585bebfca0117ce5,0359efc4a332e6f79ebeade7665aa314e10b122fea1d54b3878f97c9bb5ba574,d99e96c21cfdc2383f2735f80d0d7e3c7ef62989510bf840023a6454e108a5b2,query_pools/deep1m_dhnsw.json,048df03d3f6547048d22468d81dc0c5155a6f42f4c3f661cd38c96f01e81e798,raw_sources/dhnsw_w1_r3.json,b08cbcc81b7a019d2cd094ca11d7139893bab9e72b132428cebeee152cbfe982
vldb-worker-scaling-final-node3-v1-20260713,1ea54320a7bc7ed459ab289f77dea23d0370743285152baeb21bb363ddfaf18b,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,DEEP1M,SHINE,1,4,1,1,2,10,200,l2,fixed_query_pool,ok,10000,10000,0,0.98901,125.0,68973a8fa5af6691d904c0f5a292136be6e3f21fed6b28154a1bfbdb1c93db57,edce835964026fe3161d1c3c0a9fdf5144fae22ee30d9b55585bebfca0117ce5,8438fc763f14e0f9741fda15b3e11215aef089ce17d1ad47d53b52a7c9fda5bb,40706891f31cac7124935bfff8ba970a72f31946a00f4e65f310c2429b9e9e88,query_pools/deep1m_shine.json,97cc938356d3a3deac41e1d837d406d0088b0e646b037066be4403da5b869b02,raw_sources/shine_w1_r4.json,0195fdebd0fb45979672cc7d2f8a62870905534202a25d9c4f3d4ac67063e20b
vldb-worker-scaling-final-node3-v1-20260713,9141f811c3609df83d93b2fe95bdc2045ecd457ffd0e0090e3c2d9e2ee2257dc,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,DEEP1M,SlabWalk,1,4,1,1,2,10,200,l2,fixed_query_pool,ok,10000,10000,0,0.98907,1240.0,68973a8fa5af6691d904c0f5a292136be6e3f21fed6b28154a1bfbdb1c93db57,edce835964026fe3161d1c3c0a9fdf5144fae22ee30d9b55585bebfca0117ce5,8438fc763f14e0f9741fda15b3e11215aef089ce17d1ad47d53b52a7c9fda5bb,40706891f31cac7124935bfff8ba970a72f31946a00f4e65f310c2429b9e9e88,query_pools/deep1m_slabwalk.json,82bd83cd8d0f0368e88be45da923f942d0e31da34e9524665c82a788a14cda12,raw_sources/slabwalk_w1_r4.json,8d16768de138d2bb33a3e9807fb45d7ec43cb71d7b7ef8688b42423a6b359463
vldb-worker-scaling-final-node3-v1-20260713,fd19573a23634c14ddd9fa5f9dcd23c3390e90a8adefbf149b4ba347c8c9cd0b,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,DEEP1M,d-HNSW,1,4,1,,,10,200,l2,fixed_query_pool,ok,10000,10000,0,0.90893,5634.338,68973a8fa5af6691d904c0f5a292136be6e3f21fed6b28154a1bfbdb1c93db57,edce835964026fe3161d1c3c0a9fdf5144fae22ee30d9b55585bebfca0117ce5,0359efc4a332e6f79ebeade7665aa314e10b122fea1d54b3878f97c9bb5ba574,d99e96c21cfdc2383f2735f80d0d7e3c7ef62989510bf840023a6454e108a5b2,query_pools/deep1m_dhnsw.json,048df03d3f6547048d22468d81dc0c5155a6f42f4c3f661cd38c96f01e81e798,raw_sources/dhnsw_w1_r4.json,eb68dc58ce8fe9013a8b16750be0d520582ebf0cc5e8ef53a97992599f73690b
vldb-worker-scaling-final-node3-v1-20260713,e56e6a2fbf5f4dc79025784126439016106b8b6cc89f9f0da78bd24279f9792c,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,DEEP1M,SHINE,8,0,8,8,2,10,200,l2,fixed_query_pool,ok,10000,10000,0,0.98901,940.0,68973a8fa5af6691d904c0f5a292136be6e3f21fed6b28154a1bfbdb1c93db57,edce835964026fe3161d1c3c0a9fdf5144fae22ee30d9b55585bebfca0117ce5,8438fc763f14e0f9741fda15b3e11215aef089ce17d1ad47d53b52a7c9fda5bb,40706891f31cac7124935bfff8ba970a72f31946a00f4e65f310c2429b9e9e88,query_pools/deep1m_shine.json,97cc938356d3a3deac41e1d837d406d0088b0e646b037066be4403da5b869b02,raw_sources/shine_w8_r0.json,5aceb7ed8fa9d8b434aead50f3cd19a1a9a017be450ed9b51c65941607485cc6
vldb-worker-scaling-final-node3-v1-20260713,d2d212b32d3361ec356ca40d8abb0b5e8f3b7636ec5a5dac1bd2505c4e719255,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,DEEP1M,SlabWalk,8,0,8,8,2,10,200,l2,fixed_query_pool,ok,10000,10000,0,0.98907,9250.0,68973a8fa5af6691d904c0f5a292136be6e3f21fed6b28154a1bfbdb1c93db57,edce835964026fe3161d1c3c0a9fdf5144fae22ee30d9b55585bebfca0117ce5,8438fc763f14e0f9741fda15b3e11215aef089ce17d1ad47d53b52a7c9fda5bb,40706891f31cac7124935bfff8ba970a72f31946a00f4e65f310c2429b9e9e88,query_pools/deep1m_slabwalk.json,82bd83cd8d0f0368e88be45da923f942d0e31da34e9524665c82a788a14cda12,raw_sources/slabwalk_w8_r0.json,99d77c9249b848db508865775011755288822ea1028955c201e0446fbf14c25a
vldb-worker-scaling-final-node3-v1-20260713,142d99aaa1f0367d225b66e52e35c6627b42b6a7f692d772ae2af62d616a9b99,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,DEEP1M,d-HNSW,8,0,8,,,10,200,l2,fixed_query_pool,ok,10000,10000,0,0.90889,5980.833,68973a8fa5af6691d904c0f5a292136be6e3f21fed6b28154a1bfbdb1c93db57,edce835964026fe3161d1c3c0a9fdf5144fae22ee30d9b55585bebfca0117ce5,0359efc4a332e6f79ebeade7665aa314e10b122fea1d54b3878f97c9bb5ba574,d99e96c21cfdc2383f2735f80d0d7e3c7ef62989510bf840023a6454e108a5b2,query_pools/deep1m_dhnsw.json,048df03d3f6547048d22468d81dc0c5155a6f42f4c3f661cd38c96f01e81e798,raw_sources/dhnsw_w8_r0.json,1f3f6a3608ee75f5471614d5bc465879cc524d80c5d1f251bb8e540ab3bdd7c7
vldb-worker-scaling-final-node3-v1-20260713,e56e6a2fbf5f4dc79025784126439016106b8b6cc89f9f0da78bd24279f9792c,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,DEEP1M,SHINE,8,1,8,8,2,10,200,l2,fixed_query_pool,ok,10000,10000,0,0.98901,938.0,68973a8fa5af6691d904c0f5a292136be6e3f21fed6b28154a1bfbdb1c93db57,edce835964026fe3161d1c3c0a9fdf5144fae22ee30d9b55585bebfca0117ce5,8438fc763f14e0f9741fda15b3e11215aef089ce17d1ad47d53b52a7c9fda5bb,40706891f31cac7124935bfff8ba970a72f31946a00f4e65f310c2429b9e9e88,query_pools/deep1m_shine.json,97cc938356d3a3deac41e1d837d406d0088b0e646b037066be4403da5b869b02,raw_sources/shine_w8_r1.json,f0f276d85b56121bb9c43e3498cbf189e680dbb8cf72e1ec3a4cd27e0ed4b9aa
vldb-worker-scaling-final-node3-v1-20260713,d2d212b32d3361ec356ca40d8abb0b5e8f3b7636ec5a5dac1bd2505c4e719255,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,DEEP1M,SlabWalk,8,1,8,8,2,10,200,l2,fixed_query_pool,ok,10000,10000,0,0.98907,9557.0,68973a8fa5af6691d904c0f5a292136be6e3f21fed6b28154a1bfbdb1c93db57,edce835964026fe3161d1c3c0a9fdf5144fae22ee30d9b55585bebfca0117ce5,8438fc763f14e0f9741fda15b3e11215aef089ce17d1ad47d53b52a7c9fda5bb,40706891f31cac7124935bfff8ba970a72f31946a00f4e65f310c2429b9e9e88,query_pools/deep1m_slabwalk.json,82bd83cd8d0f0368e88be45da923f942d0e31da34e9524665c82a788a14cda12,raw_sources/slabwalk_w8_r1.json,f55b482bc00c68b223999e5ef698b21717bfe0e34aa4fb1df0f9e6ff669719cc
