dataset,layout,memory_nodes,repeat,mn,descriptor_version,policy,record_layout,scoring_code,scoring_bits,local_slots,registered_bytes,materialized_bytes,actual_write_bytes,header_bytes,budget_map_bytes,placement_padding_bytes,offset_table_bytes,record_bytes,query_read_bytes,query_read_wrs,query_read_submits,mn_peak_rss_kib
gist1m,fixed,5,3,1,2,block_cyclic,fixed,rabitq,2,200000,2147483648,1691216384,1691216384,16384,0,0,0,1691200000,8208620960,1185410,800800,6306780
gist1m,fixed,5,3,2,2,block_cyclic,fixed,rabitq,2,200000,2147483648,1691216384,1691216384,16384,0,0,0,1691200000,8324722960,1202910,811370,6307020
gist1m,fixed,5,3,3,2,block_cyclic,fixed,rabitq,2,200000,2147483648,1691216384,1691216384,16384,0,0,0,1691200000,8346657840,1205640,813850,6307076
gist1m,fixed,5,3,4,2,block_cyclic,fixed,rabitq,2,200000,2147483648,1691216384,1691216384,16384,0,0,0,1691200000,8327400960,1201660,813000,6306968
gist1m,fixed,5,4,0,2,block_cyclic,fixed,rabitq,2,200000,2147483648,1691216384,1691216384,16384,0,0,0,1691200000,8384140240,1210040,818310,6306836
gist1m,fixed,5,4,1,2,block_cyclic,fixed,rabitq,2,200000,2147483648,1691216384,1691216384,16384,0,0,0,1691200000,8208620960,1185410,800800,6306828
gist1m,fixed,5,4,2,2,block_cyclic,fixed,rabitq,2,200000,2147483648,1691216384,1691216384,16384,0,0,0,1691200000,8324722960,1202910,811370,6306980
gist1m,fixed,5,4,3,2,block_cyclic,fixed,rabitq,2,200000,2147483648,1691216384,1691216384,16384,0,0,0,1691200000,8346657840,1205640,813850,6306816
gist1m,fixed,5,4,4,2,block_cyclic,fixed,rabitq,2,200000,2147483648,1691216384,1691216384,16384,0,0,0,1691200000,8327400960,1201660,813000,6306812
gist1m,legacy,1,0,0,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,1000000,9663676416,8456016384,8456016384,16384,0,0,0,8456000000,41591542960,6005660,4017330,13646872
gist1m,legacy,1,1,0,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,1000000,9663676416,8456016384,8456016384,16384,0,0,0,8456000000,41591542960,6005660,4017330,13646868
gist1m,legacy,1,2,0,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,1000000,9663676416,8456016384,8456016384,16384,0,0,0,8456000000,41591542960,6005660,4017330,13646760
gist1m,legacy,1,3,0,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,1000000,9663676416,8456016384,8456016384,16384,0,0,0,8456000000,41591542960,6005660,4017330,13646888
gist1m,legacy,1,4,0,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,1000000,9663676416,8456016384,8456016384,16384,0,0,0,8456000000,41591542960,6005660,4017330,13646980
gist1m,legacy,3,0,0,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,333334,9663676416,8456016384,2818688688,16384,0,5637327696,0,2818672304,13841329360,1998560,1343670,13646864
gist1m,legacy,3,0,1,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,333333,9663676416,8455999472,2818663848,0,0,5637319240,0,2818663848,13872668160,2003860,1346040,13646700
gist1m,legacy,3,0,2,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,333333,9663676416,8456007928,2818663848,0,0,5637327696,0,2818663848,13877545440,2003240,1347620,13646952
gist1m,legacy,3,1,0,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,333334,9663676416,8456016384,2818688688,16384,0,5637327696,0,2818672304,13841329360,1998560,1343670,13646808
