dataset,ef,campaign_id,protocol_fingerprint,binary_sha256,threads,duration_s,measurement_mode,processed_queries,expected_queries,failed_queries,wall_seconds,top_k,metric,query_rows,ground_truth_rows,query_rows_per_ground_truth,qps_recomputed,recall,latency_us,network_us,compute_us,meta_us,deserialize_us,raw_qps_buggy,server_rss_before_gb,server_rss_after_gb,status
deep10M,48,dhnsw-17d63b6f-5a31-4f66-8bc5-c51f212b689d,2a25e30be3edfc4d1c0a5bfdeff6e39a1200fd9e615db4d9ad1165a94338fc98,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,10,20,fixed_query_pool,10000,10000,0,22.212061,10,l2,10000,10000,1,450.206,0.898390,20223.310,1496.077,632.471,40.140,6631.270,495.733,27.352,28.721,ok
deep10M,64,dhnsw-17d63b6f-5a31-4f66-8bc5-c51f212b689d,fad5d3b8bfabf86f0f00e7da38f644b8fd662d4f62e87dca5bd684a5304df460,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,10,20,fixed_query_pool,10000,10000,0,22.091414,10,l2,10000,10000,1,452.665,0.909050,20340.140,1446.936,702.127,39.284,6017.881,492.795,27.352,28.721,ok
deep10M,96,dhnsw-17d63b6f-5a31-4f66-8bc5-c51f212b689d,9690c19f2484162ef4219cfa64e2073d1f740fddf725faf245c11de028dfdff6,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,10,20,fixed_query_pool,10000,10000,0,21.863563,10,l2,10000,10000,1,457.382,0.917330,19585.820,1399.968,919.994,41.910,5977.467,511.699,27.352,28.721,ok
deep10M,128,dhnsw-17d63b6f-5a31-4f66-8bc5-c51f212b689d,577a0ad04e21a779ddb76c32d2c64460298f3347828c872c92c808f0445d99ff,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,10,20,fixed_query_pool,10000,10000,0,22.720830,10,l2,10000,10000,1,440.125,0.920420,20102.440,1498.733,1269.005,41.805,6451.163,497.689,27.352,28.721,ok
deep10M,200,dhnsw-17d63b6f-5a31-4f66-8bc5-c51f212b689d,d27b6e3f8e4c599e03afc7346d780493741a5f70efa245e097da44bd34acfefd,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,10,20,fixed_query_pool,10000,10000,0,22.902461,10,l2,10000,10000,1,436.634,0.923030,21015.760,1455.632,1611.166,37.968,6218.212,476.76,27.352,28.721,ok
