dataset,ef,campaign_id,protocol_fingerprint,binary_sha256,threads,duration_s,measurement_mode,processed_queries,expected_queries,failed_queries,wall_seconds,top_k,metric,query_rows,ground_truth_rows,query_rows_per_ground_truth,qps_recomputed,recall,latency_us,network_us,compute_us,meta_us,deserialize_us,raw_qps_buggy,server_rss_before_gb,server_rss_after_gb,status
deep10M,48,dhnsw-17d63b6f-5a31-4f66-8bc5-c51f212b689d,2a25e30be3edfc4d1c0a5bfdeff6e39a1200fd9e615db4d9ad1165a94338fc98,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,10,20,fixed_query_pool,10000,10000,0,22.451335,10,l2,10000,10000,1,445.408,0.898220,20301.300,1407.183,569.962,39.248,6287.599,493.859,27.352,28.798,ok
deep10M,64,dhnsw-17d63b6f-5a31-4f66-8bc5-c51f212b689d,fad5d3b8bfabf86f0f00e7da38f644b8fd662d4f62e87dca5bd684a5304df460,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,10,20,fixed_query_pool,10000,10000,0,23.009165,10,l2,10000,10000,1,434.609,0.909090,21259.110,1494.297,740.271,39.422,6689.514,471.285,27.352,28.798,ok
deep10M,96,dhnsw-17d63b6f-5a31-4f66-8bc5-c51f212b689d,9690c19f2484162ef4219cfa64e2073d1f740fddf725faf245c11de028dfdff6,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,10,20,fixed_query_pool,10000,10000,0,22.252011,10,l2,10000,10000,1,449.398,0.917430,19925.870,1444.143,931.818,43.349,6066.949,503.883,27.352,28.798,ok
deep10M,128,dhnsw-17d63b6f-5a31-4f66-8bc5-c51f212b689d,577a0ad04e21a779ddb76c32d2c64460298f3347828c872c92c808f0445d99ff,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,10,20,fixed_query_pool,10000,10000,0,22.486098,10,l2,10000,10000,1,444.719,0.920460,20126.130,1420.471,1168.668,41.854,6036.753,499.195,27.352,28.798,ok
deep10M,200,dhnsw-17d63b6f-5a31-4f66-8bc5-c51f212b689d,d27b6e3f8e4c599e03afc7346d780493741a5f70efa245e097da44bd34acfefd,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,10,20,fixed_query_pool,10000,10000,0,24.232457,10,l2,10000,10000,1,412.670,0.923120,21768.550,1617.960,1866.401,41.973,7293.709,460.571,27.352,28.798,ok
