dataset,ef,campaign_id,protocol_fingerprint,binary_sha256,threads,duration_s,measurement_mode,processed_queries,expected_queries,failed_queries,wall_seconds,top_k,metric,query_rows,ground_truth_rows,query_rows_per_ground_truth,qps_recomputed,recall,latency_us,network_us,compute_us,meta_us,deserialize_us,raw_qps_buggy,server_rss_before_gb,server_rss_after_gb,status
deep10M,48,dhnsw-17d63b6f-5a31-4f66-8bc5-c51f212b689d,2a25e30be3edfc4d1c0a5bfdeff6e39a1200fd9e615db4d9ad1165a94338fc98,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,10,20,fixed_query_pool,10000,10000,0,23.624099,10,l2,10000,10000,1,423.297,0.898380,21431.030,1665.837,656.352,43.693,7247.966,470.84,27.352,28.798,ok
deep10M,64,dhnsw-17d63b6f-5a31-4f66-8bc5-c51f212b689d,fad5d3b8bfabf86f0f00e7da38f644b8fd662d4f62e87dca5bd684a5304df460,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,10,20,fixed_query_pool,10000,10000,0,24.260631,10,l2,10000,10000,1,412.190,0.909110,22389.100,1631.621,871.095,43.422,7889.143,447.43,27.352,28.798,ok
deep10M,96,dhnsw-17d63b6f-5a31-4f66-8bc5-c51f212b689d,9690c19f2484162ef4219cfa64e2073d1f740fddf725faf245c11de028dfdff6,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,10,20,fixed_query_pool,10000,10000,0,23.932399,10,l2,10000,10000,1,417.844,0.917340,21420.970,1656.613,1072.038,41.934,7320.559,470.13,27.352,28.798,ok
deep10M,128,dhnsw-17d63b6f-5a31-4f66-8bc5-c51f212b689d,577a0ad04e21a779ddb76c32d2c64460298f3347828c872c92c808f0445d99ff,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,10,20,fixed_query_pool,10000,10000,0,24.090036,10,l2,10000,10000,1,415.109,0.920460,21710.100,1570.840,1298.133,40.981,7203.366,465.429,27.352,28.798,ok
deep10M,200,dhnsw-17d63b6f-5a31-4f66-8bc5-c51f212b689d,d27b6e3f8e4c599e03afc7346d780493741a5f70efa245e097da44bd34acfefd,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,10,20,fixed_query_pool,10000,10000,0,25.039569,10,l2,10000,10000,1,399.368,0.923090,22576.620,1618.339,1821.999,43.067,7274.724,445.25,27.352,28.798,ok
