dataset,ef,campaign_id,protocol_fingerprint,binary_sha256,threads,duration_s,measurement_mode,processed_queries,expected_queries,failed_queries,wall_seconds,top_k,metric,query_rows,ground_truth_rows,query_rows_per_ground_truth,qps_recomputed,recall,latency_us,network_us,compute_us,meta_us,deserialize_us,raw_qps_buggy,server_rss_before_gb,server_rss_after_gb,status
deep10M,48,dhnsw-17d63b6f-5a31-4f66-8bc5-c51f212b689d,2a25e30be3edfc4d1c0a5bfdeff6e39a1200fd9e615db4d9ad1165a94338fc98,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,10,20,fixed_query_pool,10000,10000,0,23.245592,10,l2,10000,10000,1,430.189,0.898670,21330.620,1594.459,635.536,40.742,6908.620,472.805,27.351,28.789,ok
deep10M,64,dhnsw-17d63b6f-5a31-4f66-8bc5-c51f212b689d,fad5d3b8bfabf86f0f00e7da38f644b8fd662d4f62e87dca5bd684a5304df460,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,10,20,fixed_query_pool,10000,10000,0,22.094270,10,l2,10000,10000,1,452.606,0.909290,19445.690,1535.441,738.282,42.340,6295.140,517.368,27.351,28.789,ok
deep10M,96,dhnsw-17d63b6f-5a31-4f66-8bc5-c51f212b689d,9690c19f2484162ef4219cfa64e2073d1f740fddf725faf245c11de028dfdff6,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,10,20,fixed_query_pool,10000,10000,0,24.711962,10,l2,10000,10000,1,404.662,0.917530,21846.940,1679.371,1154.907,42.839,7986.641,460.803,27.351,28.789,ok
deep10M,128,dhnsw-17d63b6f-5a31-4f66-8bc5-c51f212b689d,577a0ad04e21a779ddb76c32d2c64460298f3347828c872c92c808f0445d99ff,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,10,20,fixed_query_pool,10000,10000,0,24.528556,10,l2,10000,10000,1,407.688,0.920420,22266.890,1733.455,1317.175,43.862,7510.302,452.465,27.351,28.789,ok
deep10M,200,dhnsw-17d63b6f-5a31-4f66-8bc5-c51f212b689d,d27b6e3f8e4c599e03afc7346d780493741a5f70efa245e097da44bd34acfefd,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,10,20,fixed_query_pool,10000,10000,0,25.411943,10,l2,10000,10000,1,393.516,0.923090,22838.630,1689.123,2023.501,43.446,8027.858,439.726,27.351,28.789,ok
