campaign_id,protocol_fingerprint,dataset,condition,cache_ratio_pct,run_kind,repeat,binary_sha256,threads,query_contexts,coroutines,ef,top_k,processed,recall,qps,posts_per_query,bytes_per_query,cache_hits,cache_misses,p50_us,p95_us,p99_us,source_json,source_json_sha256,source_manifest,source_manifest_sha256
vldb-cache-control-sift1-final-v2-20260714,311f13155e2ed0acb33282d43c9f7192c418a3d880fd27c44fb8d6f168a10dbc,SIFT1M,c20,20,measure,0,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,1,1,8,100,10,10000,0.97661,575.0,983.6386,488276.278,7765102.0,8724639.0,14082.876,18183.516,19759.485,raw/c20/measure_r0/cn.json,33b2a72fc06c9cb799bd256415ab4ee330d01adf7dbb86565120a5c09f750a47,raw/c20/measure_r0/manifest.json,41407b19cffa342f36513ee955652e0a1f7b4397313d58ad80cc77d5ba789b56
vldb-cache-control-sift1-final-v2-20260714,311f13155e2ed0acb33282d43c9f7192c418a3d880fd27c44fb8d6f168a10dbc,SIFT1M,c20,20,measure,1,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,1,1,8,100,10,10000,0.97661,561.0,984.0801,488509.39,7760687.0,8729054.0,14419.371000000001,18600.262,20114.488,raw/c20/measure_r1/cn.json,feb7612db94e9b208eda3a22160ca680bb8e17afc85a2867ecb4d9acf694cb20,raw/c20/measure_r1/manifest.json,7a7ede33331ddcfc99690cff5827d4e59d44bd52dba420fa07c7d71597517c27
vldb-cache-control-sift1-final-v2-20260714,311f13155e2ed0acb33282d43c9f7192c418a3d880fd27c44fb8d6f168a10dbc,SIFT1M,c20,20,measure,2,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,1,1,8,100,10,10000,0.97661,572.0,983.4643,488184.2476,7766845.0,8722896.0,14159.685,18259.402000000002,19898.956000000002,raw/c20/measure_r2/cn.json,727f33c538ee35c68c9d7946e0dac00f75d10df988a30959819fe5bc92e05602,raw/c20/measure_r2/manifest.json,514bac946fd8a5303d33ead3fc52d2dac9f20c469dd81999659df67838507ddd
vldb-cache-control-sift1-final-v2-20260714,311f13155e2ed0acb33282d43c9f7192c418a3d880fd27c44fb8d6f168a10dbc,SIFT1M,c20,20,measure,3,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,1,1,8,100,10,10000,0.97661,570.0,984.3273,488639.9116,7758215.0,8731526.0,14200.283,18345.143,19934.091,raw/c20/measure_r3/cn.json,03f84ff3b1c062660947bf72153801bbf0ed2062c38c78065ac4f208ecfa0f61,raw/c20/measure_r3/manifest.json,8cb64861f12f638c8b15963ca4332fd35bfe238636f51cf2293656a9708fd5d5
vldb-cache-control-sift1-final-v2-20260714,311f13155e2ed0acb33282d43c9f7192c418a3d880fd27c44fb8d6f168a10dbc,SIFT1M,c20,20,measure,4,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,1,1,8,100,10,10000,0.97661,563.0,983.8232,488373.7468,7763256.0,8726485.0,14380.725,18565.02,20096.188000000002,raw/c20/measure_r4/cn.json,b1de197f549559dba602f6bcd38c974eada146add38f27a166f6931a7c8a7603,raw/c20/measure_r4/manifest.json,60974dabb7c0799cffa3869c79f092c8d34a2d6898793629231f984833d221cc
vldb-cache-control-sift1-final-v2-20260714,311f13155e2ed0acb33282d43c9f7192c418a3d880fd27c44fb8d6f168a10dbc,SIFT1M,c50,50,measure,0,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,1,1,8,100,10,10000,0.97661,539.0,296.3729,125399.9884,14637759.0,1851982.0,14221.496000000001,22686.128,27764.812,raw/c50/measure_r0/cn.json,334fc6a19b5e6b751a1eaf43984bfd570e1b5351bd591e274ac8a50d74185e02,raw/c50/measure_r0/manifest.json,86f31b2890562586041e902deb8f943765ffc7bea0abf5cf222d568747dc97ce
vldb-cache-control-sift1-final-v2-20260714,311f13155e2ed0acb33282d43c9f7192c418a3d880fd27c44fb8d6f168a10dbc,SIFT1M,c50,50,measure,1,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,1,1,8,100,10,10000,0.97661,540.0,296.4226,125426.23,14637262.0,1852479.0,14202.427,22703.552,27616.716,raw/c50/measure_r1/cn.json,d52ea228268159a0c09147b23f104e8cdc15016e42dad8ff8e3653152d1c8202,raw/c50/measure_r1/manifest.json,b15b8378123ae20376a58a24a87b3a642dfd305a2745ab1ac836119682a4e1e4
vldb-cache-control-sift1-final-v2-20260714,311f13155e2ed0acb33282d43c9f7192c418a3d880fd27c44fb8d6f168a10dbc,SIFT1M,c50,50,measure,2,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,1,1,8,100,10,10000,0.97661,540.0,296.5828,125510.8156,14635660.0,1854081.0,14213.08,22574.529000000002,27573.909,raw/c50/measure_r2/cn.json,664565949f7b2805e7fb670580790236c6968ff3a0071c4d731bc1d17fab7bb4,raw/c50/measure_r2/manifest.json,fb514f3c0594ab66553098e28702a6533a6e08dba9342e9cba9caa9c7902f46a
vldb-cache-control-sift1-final-v2-20260714,311f13155e2ed0acb33282d43c9f7192c418a3d880fd27c44fb8d6f168a10dbc,SIFT1M,c50,50,measure,3,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,1,1,8,100,10,10000,0.97661,538.0,296.4399,125435.3644,14637089.0,1852652.0,14266.178,22775.398,27818.874,raw/c50/measure_r3/cn.json,1eea116312cd31fbdc4437d11ea91c45a96d298d8de7bcdbc9bd941b5692462f,raw/c50/measure_r3/manifest.json,c3008e3bbbc30f1e91e6e0fd2e12a07107d64e80397c7d51072c347361dce708
vldb-cache-control-sift1-final-v2-20260714,311f13155e2ed0acb33282d43c9f7192c418a3d880fd27c44fb8d6f168a10dbc,SIFT1M,c50,50,measure,4,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,1,1,8,100,10,10000,0.97661,535.0,296.2678,125344.4956,14638810.0,1850931.0,14306.464,22896.63,27856.542,raw/c50/measure_r4/cn.json,18819a1669d9896ee952e6c68ddb194fbcec2f20d8ebf08f7bfca5f25f59430b,raw/c50/measure_r4/manifest.json,ccdcd3b441955ecf78eba9dace3ebc444d464e0c01daa10464de9c6351e11ae2
