condition,cache_ratio_pct,n,qps_mean,qps_ci95,qps_change_vs_off_pct,recall_mean,recall_ci95,posts_per_query_mean,posts_per_query_ci95,post_reduction_vs_off_pct,bytes_per_query_mean,p99_us_mean,p99_us_ci95,cache_hits_mean,all_repeats_below_off_min
off,0,5,701.4,6.945549780974865,0.0,0.97661,0.0,1760.1488,0.0,0.0,898273.6636,15056.277,144.91121184146905,0.0,True
c5,5,5,646.8,4.595097631171725,-7.784431137724557,0.97661,0.0,1487.3393800000001,0.17342739573994576,15.49922483826366,754230.28984,16637.6258,96.5273719148309,2728094.2,True
c20,20,5,568.2,7.417688092660676,-18.990590248075268,0.97661,0.0,983.8667,0.42715214140862373,44.10320877416727,488396.7148,19960.641600000003,183.10615384992408,7762821.0,True
c50,50,5,538.4,2.574356494349607,-23.23923581408611,0.97661,0.0,296.41720000000004,0.14188953133972854,83.15953742092714,125423.3788,27726.1706,154.86955988390565,14637316.0,True
